Name,P,I,H,D,T,O,S
gAAAAABeSk1HuTjBggaqqOh5Bna-jM3pV212-p0p2FVMPd-DPYgTCR-zTQgLO4GwmmPLmGn3C91mOX3NF44lma-XVFi-AVi3bg==,1,0,0,0,0,0,0
gAAAAABeSk1HNwZxc2OLD-D3uYFsO5BVWJdoE20frEJFyKr8EqDgR9JNiJb1OK8_VdqyCUByHUFbH-6reD_yRXoRJWeNHZR7nw==,1,0,0,0,0,0,0
gAAAAABeSk1HqUsTBiPQpMcW_3KaUJDQUjOJzxumOBpTu-Yi91SAwze3_J3HPjf87hEbp_EUEPhvryHcUfKTiyXaTJvggMMuTg==,0,0,0,0,0,1,0
gAAAAABeSk1HZpfPn4EQw9m0i3z6s_aBrernkmr1pHxnDbZJtX6RNyQu3gOH8y1e76lAyj7MSwmpLNpXqzQ8uG5EdlEQ4ZZDGQ==,1,0,0,0,0,0,0
gAAAAABeSk1HRXEsVB84Q7JSNgwCXskBbr9loF8WscPFvJ7LaXNJKxDJW7k6ohj8ua_KzRRRtOxfiI46o4wFhzYO3BmJkq5_YA==,1,0,0,0,0,0,0
gAAAAABeSk1Hx9dei9iyFlvNYgsHJpCYTN2hajuLhLWbr66t3VFGlYmQr-J-KXo4OGAqh6pNOKcOwuyydMdJJGuy1d0JaM91gw==,1,0,0,0,0,0,0
gAAAAABeSk1H-2FgRPDHPEM5FOaSFcoi81t26CcjIxD8T43Vnb8rBY7WV-AHV5Ar94C7DLSAlc9EeKV_8OExrvRDbG9rjPiPLg==,1,0,0,0,0,0,0
gAAAAABeSk1HagIkK9bh7r9C3vQa27IiYB_iYAZlNJGjm3DCVE4BHlVfy4LMLtokRBDoO5opgdoqPOUOk5aYo-RAdXtegcJlJg==,1,0,0,0,0,0,0
gAAAAABeSk1Hjsqu-bvaIcpZIQJs_ATisuLwa3Zbn1x4yUzgykQzGIvSb7KAdFTr5iFX05IBCOJJ9wlPuKvHOKk1v14JoClX8Q==,1,0,0,0,0,0,0
gAAAAABeSk1H1SafiDAs3q8qpKtn8cYCNj1lvA6HMS4JQtvJbgFT2EeVmhNzNdRH87nI50oFx9_othWxfhshg0zaYtY--xzKzQ==,1,0,0,0,0,0,0
gAAAAABeSk1HtAbzK3DWdEeAKKd7GNqUkhNxPDSarICLehtm1p6HyditSc_Sf9kX4Tn_xdRE4WhD8jTk1pPnzh1iP-CbrXgt7Q==,0,1,0,0,0,0,0
gAAAAABeSk1HsJxXnrxp8ZA3umXeixBT_IQCD2rr2OQEubbIOCk_7nUMBAz31LKmXCFeEqyJI1Uy-Sujz99u8j0iENOWqWqkwA==,1,0,0,0,0,0,0
gAAAAABeSk1HN5s5PTxM0o-DraV9MPQBszIylfYtMy_AxU12WDczd5Re8vvusQPsEfOq8Xn043odXCZBkXMVdPlJBVNyLwYZ5A==,1,0,0,0,0,0,0
gAAAAABeSk1H2hQWhIcv_a3NElMo2SdBjCvd5QiemNTpHkDlnkq5twlN62mpmiOeQR5CKpwvBBQEFFDiNKhvV8urTerEsMdN7g==,1,0,0,0,0,0,0
gAAAAABeSk1HTpbckSJcXXs6RQ-JjPyTCw3Ye9b0tT88mQMLlikQPDGyQz4DeTT0uB592Nf9mHYhL6unirY7GQ7MAGxJ9ZQ52Q==,1,0,0,0,0,0,0
gAAAAABeSk1H96bF5SOlPwCM7r2LY5nr5sDoOK-sCkVcO0x801NIwc8AjdW8j7yZklBQOIyI7WoR2WksF-jk3O8gFFLD3T1U3g==,1,0,0,0,0,0,0
gAAAAABeSk1HMR6u_gKDvndbCjDFv_vOSnFfnq_BbmCB7mH2Rs73aGDScX-LPLILuqU6dcv9UxlNQ88pifWFYCitAxrMPgjHFQ==,1,0,0,0,0,0,0
gAAAAABeSk1H4kS-njlIMDu1tQa37qna3DISCPjMr8BseM3d4DuS_jozBhIRQODFY3HEpJSaxDhFif93JK-VH8lYqI-dmEITAg==,1,0,0,0,0,0,0
gAAAAABeSk1HRE6UnZfdTf1_EqK0uVOpNcXNbMPRzgYEu6-RCRorJvDvrZ6GKNkQdLbKfNAmMiA5RoWtsIB0sfLGBJQHrX3rtA==,1,0,0,0,0,0,0
gAAAAABeSk1Hf4IctHkh5yyNKdiMwO2s7ip1I7Aa-bwPFGyZRdpXoXVR3BMp3XR6jhsmJgbxB4ikMvel5XRNdibPZHChCKRRYQ==,1,0,0,0,0,0,0
gAAAAABeSk1HNuQDS4ZjVRJ96RmKdRCS0pPW0zdms-m7azpQ_-F8I6lCHzTOHNZzN8TqxPFYu_qTwWyX0QVCaIM_SetUYOdmfg==,1,0,0,0,0,0,0
gAAAAABeSk1HRSp7Wr-grGn9MsC9pgLSFlME6aOX4GOHFXyoyseN2fGupoMJV9NYDXgVBTkPMnZvzwtsEdbPOWe4eHBZ0V2DKQ==,0,0,0,0,0,1,0
gAAAAABeSk1Hd8LRDL7FsPYc81m9sTSnBdJiVJpshB4pfH2GFMpM9kui6dNiP29vFT1pD4oAnTkl3bzZa0-tGylKz5U_trhaMg==,1,0,0,0,0,0,0
gAAAAABeSk1HCT_mDwq3s1t9qGucynY8g_GoP4Te3f9KuDhfJcH8stx1YMge7_dfIoaztscLH6x14x6FbeOYLVKo_JiF13kLBw==,1,0,0,0,0,0,0
gAAAAABeSk1HOcyxEZMeVp0dMwHMH_xCKIl-4VHAje3NNQMgqPVz5meX8sMljGcR1C46na9YZcSlbwQ1gX9AVfHo88JlzQdgXQ==,1,0,0,0,0,0,0
gAAAAABeSk1H35nnIgDETVFvX8Bt1yKitfHnu_rhnbyXjuSSmWihW7u_rJuRjk3ghqOdEqAfK9ge0oeAR2-GWwrKVoOTMG0gwA==,0,0,0,0,0,1,0
gAAAAABeSk1HtvyAMpjSzMb2FaLh4BYNiXZZFVKed2eBmKA93EFmUGsFlE2WxNAIcU8XLtmWOZRU1nbXZ2HVgTxKV5z8TrlIcg==,1,0,0,0,0,0,0
gAAAAABeSk1HsLfcpSNp_HB9cL6EO4rPIpjtfurqaNJ3VPQQEeOddVTHWboOkYDoXlXwiT5v71rejx2M_bD6QHz50emPn6EjsA==,1,0,0,0,0,0,0
gAAAAABeSk1HdLmk8XvqPGCZjdhF7f5yxAEEMZ4X-XEEYOVxKpqsZda2ZXSAE7E9SE53j_tRWiLpHpKquVVClHI7xv7wxfgz9Q==,0,0,0,1,0,0,0
gAAAAABeSk1HK2LiNhUE_7uCFNlUb2BWNzMRfVC7iS1IqdtFRzJmL0jTytm3wswLlWKaZbUYlVO6M59YGoT143L094oXH7pIAA==,1,0,0,0,0,0,0
gAAAAABeSk1H9I3OOo2CBrzS_T9qFogQnw74e4IbVAcP85YCfCQSSxtEY0nIH9UGJA5ermUhA2g_8C_mN-JckchZIbVImEsI3Q==,1,0,0,0,0,0,0
gAAAAABeSk1HpCUt8JRN0yaG3ZSP4viKkCBYTLgZ7xDbHIsjdlxW0oTUqHqjDySo2KhaEzlMcm5wOCW6ROTXSJMPBpCZDRCjNg==,0,1,0,0,0,0,0
gAAAAABeSk1HjTaa5ohdDWpm7j2YbqiMfO5oYAA_ZPhkprsG-5LEZ6Qga74bECOts0p10DoesdkOfiNVQ9Et_Ljacw9GzaydyA==,1,0,0,0,0,0,0
gAAAAABeSk1H-HnzXXOwCX_TS7Uh7uiF6wqtfBQt4fwvxvcuWLdESK8gg1hGlIxFW7vw4ZNcdcfdh_MhmkUlF3W7h76AUjcs4A==,1,0,0,0,0,0,0
gAAAAABeSk1HaJfnnkilOgj5SsE1dZJPSMELmAAOSvNXYxkNDKwxkMh1Q2kpAMCgUlQtbg5hYbERZx7AqnkNdmcgzPM2dLKebA==,1,0,0,0,0,0,0
gAAAAABeSk1HT5myp20Ey2q6O7txaXtlz79-V_s_ZjNmVoniaBrRHlaTDZLI-oOanCZV4lVft8Lv7bScuFOEAhnbqvIsv1FSdg==,1,0,0,0,0,0,0
gAAAAABeSk1HuWgPoIykIkUAimU7u2BhNYY749j3d1rJZPNJoope1bdWbapJqijiTJw1u2FrTv87pGkd97aUJWOapSnDNjwhRw==,1,0,0,0,0,0,0
gAAAAABeSk1HumXbfSGIRg8llvPh8hiEnaNRI18SGQa7R1m93tioSSuz9U6bEEscOSpMGqBFMWGXaSQi7fsmujV8IoAixSaPbA==,1,0,0,0,0,0,0
gAAAAABeSk1H2TGw1FCPrMcgEZGKHSrAQeMMjBwyWeCq01c9pUYyExdi4JeeCtwRSZYSbC4osjfrMl-tDIDl-PM3DYJQhIyGNw==,1,0,0,0,0,0,0
gAAAAABeSk1HSC1b9XnX_bUV4XK54D-ggJtpvMap4k9b6P7hg0gU98uaAgsr9bFaRPzqJDIT3C-7mSxBSsU3KV9MlKGdaD7iaQ==,1,0,0,0,0,0,0
gAAAAABeSk1HLvJRahneycJyF0F157vI_0_c1Z-2aHRA_Y3zwVCYI4eqNkEvznuvbM4fEe42RgroDpqSsm9qOlbVEimc9BOp7A==,1,0,0,0,0,0,0
gAAAAABeSk1Hv6W_3utzFlcs25-YLo5qP57RGpoG24p7yMjs4UNYpb7mddhaxwn9Q8fXTckLWBmvHmdqvIjrOGAwcdJVKCdCGw==,1,0,0,0,0,0,0
gAAAAABeSk1HFGwtDhtPL4L3HtqTO-Strb5S2VDN1NZhctxGA9Y3orWwiJg-ENlzFPNXT2pXB7xmbUtkQm1BBo6Y6uGB6UvK4w==,1,0,0,0,0,0,0
gAAAAABeSk1HKSlq3QhKQXthKjopQ-nZVIrkoQke0CdIHO9E2zMoKsGQ1iu5s7_Chc7HOHVRJ5kdPa9bAU1GMqIYVuAz3AJLgg==,1,0,0,0,0,0,0
gAAAAABeSk1Hj827dlv7LH__kNv6QN1SuTaEvgt3KHVAYlIpUlJ6HuDYflEchpjXXWblXgfR4L1MXC8O3n-09zEN6Fm8b-OBCg==,1,0,0,0,0,0,0
gAAAAABeSk1HFQkFUEw2pEaS6K4L7wKfR1UPDfyS6P-rKSyjtmPqqBjcKM9J73Js3nBfHn9piCTW65Xc-nbpyNFOFA_0tNQMJg==,1,0,0,0,0,0,0
gAAAAABeSk1H-rkCw7xWjRWkYGb3znOTGdil_lL72ux3qv9CrqI00AXozCSBhBmBnzNHUGH47RZg2vw1J2uOCv7VUt1-MCg-KA==,1,0,0,0,0,0,0
gAAAAABeSk1HYpNNl9osNcp8YPesn9Sa88Ak8SviQ2lSIVTi9MpOv5WqYz-ssuAEXSCij85w1dgaTZgg4HCajsPolhG2A18ncg==,1,0,0,0,0,0,0
gAAAAABeSk1HHb26TegsPN7j2iFkE2P5mLHDMHEutgN7k6_znp9EgmerhplKuJnpqZJ-37H5kHUekKu--3EtI-ae8APfyRKtNg==,1,0,0,0,0,0,0
gAAAAABeSk1HR383QHWYqLFVTgWJ-e26-0fEqVd36Ca9Iqiy64z2ja2VMlbLoOo42guH-J4HsPDe-zwe9MVa-d9U5b_8mF_i6A==,1,0,0,0,0,0,0
gAAAAABeSk1Hf_VmztYaT9o7dHmF3ZlIjLUgEaM2pBZMf3E6tuP8W_WHdKigDrUWIrSGYz_hJPu7327fSQXyEugY5vyNuTy9Hw==,0,1,0,0,0,0,0
gAAAAABeSk1HVN0OmiddCRdwBJUWTgaGb5_G9_gu_mi2MAB9nkaV9V5jf8C6attT5bjp8b-8WqPQnRlTso-2hGIYfEtQHOxPfQ==,1,0,0,0,0,0,0
gAAAAABeSk1H1MpIK4LcWhX_CiUpQTK1ntz6GpOuPpUyVVOPeTuaVF9j4JMrkr2UmSqXPE8DF04Z5HA5RLf5jN3jtkJnTuZYDg==,1,0,0,0,0,0,0
gAAAAABeSk1HZjTNeKg4yJRROZ10O5j2bbVlOGeByEU6goLz2_1pqzm7sr8cjCMtVrVOwSEHYsMS39-MLFQCyrhybsdI6T8SAQ==,0,1,0,1,0,1,0
gAAAAABeSk1HbTnsIMshk-BQFvAKnwuyvYYZTqZL6aZ_NZHqSqvDaz6CI3IaD1aOKOJrx6JG1HUYta9Qna_Midm_jlVJJwzNUQ==,1,0,0,0,0,0,0
gAAAAABeSk1H_F85gyXtiYl5xd2f3zYYHhXcIxXwAaV84WiOuJDEJRBSoyjh5eKC3DBCoPGopjaen2aC3jv8D6lERhG4SR5ZKw==,1,0,1,0,0,1,0
gAAAAABeSk1H0nUb2ztW5Hbxxu7tsFtz5CI_gcq86exucYNHalzGwDtRYcKk1-XO-iMXe1trQ7xumIZ13YE-JkzrX2kXUOUX3Q==,0,0,0,0,0,0,1
gAAAAABeSk1H94Jw6NB8jWsZ_dKUbVKx1W0qHsKk_NZvQD2sy6m-QA-T69AYIeEOC3yRZXEda4hKwLYAdnWN4cslhxHYUtxKqA==,1,0,0,0,0,0,0
gAAAAABeSk1He6DLiwFK3E3vcJy9f8jAY8uW3WgieJaMT9oTykutYcR1ODifXURYJJv5TyLnCiFmgPL99h72_JvByohEHAceuQ==,0,0,0,1,0,0,0
gAAAAABeSk1HEz_J4vS4gmTeOli_gdGF6wHRboz7FPqKVS9sSQ6Hoog2C2lYHscK7_9t1AoJaucZye0Ax4tI1KE-O92ma7cB4Q==,1,0,0,0,0,0,0
gAAAAABeSk1H6aXqO_iI-tZyRkcci9BjliJcjElo_hwOybGwWo865IZrd5DPlZv-W2Ov-CbloU2g9NCvc3bbVHK_LxXudCm7_g==,1,0,0,0,0,0,0
gAAAAABeSk1HX6JESJFWzaX9JMkPayutn73HthWZC6cIxiNk9J67l3WoCei-V_yQMMpJfrSB1AWJVELlW7xqSjeH0sOw8EDqxw==,1,0,0,0,0,0,0
gAAAAABeSk1Hll--BqHjqMmvSHtQEcUiJkPNVLqBiR0RtOXZqnvAJ3jbXIYylGhjR2RczKwPc3IacJus7zTtSY5U-NSfndnn8w==,0,0,0,0,0,1,0
gAAAAABeSk1Ha_HRTa2xdJFiWkCWdRdMt0a0dUylP-ecXufuLiYCurtEPzU6muus97qu5THMUHYB8u6p9eRXkmgY9D-trVMRNA==,1,0,0,0,0,0,0
gAAAAABeSk1HYcpPitHZtWwwvQ6VaYbEVaxlf1PbrHDDImHzmPDXUcCb1HXakd3hpybMZvftBJYqzSI5y7j65snwPiEDRIh79g==,1,0,0,0,0,0,0
gAAAAABeSk1HQDV-CmXMF-vAC3q8t699ST6yuALpWoNemdCSXxE3oGFHc6oZxrcZFkYrsGUpSVmFR4G55B8mdcgmKWen6l40Gg==,1,0,0,0,0,0,0
gAAAAABeSk1HEd9ckNnFbiwnXUsFR8PrIS3MkEDjX5JmmF9qJuYvXYZewLManpjx6_yW_W2Bj2bRDeulNX4S09QN8UhhiVzvdg==,1,0,0,0,0,0,0
gAAAAABeSk1HcFlT5C1cmUcykwaMn9bN2hkJwovzfuK4LYFBQpBxoA8luesqXICdgI32UeW6BlTW6NtjOLnLUArWByfvKPZNDA==,1,0,0,0,0,0,0
gAAAAABeSk1HU0ttfJTMMPGs6STgf1--kATfCx455iPPMOVhy_laos-5L2QXXdsUoHDIemO-SuWSUxF4rtXwdSXMmdAHBWrSig==,1,0,0,0,0,0,0
gAAAAABeSk1Hef_wYzgXKmZ-qDDPY6AqxaL0ZSYz6eLQlj7q3V9Q8QKlvuZ4M49Gt3jxHGxIUCul91I0IBUg3QPlqFYvxIrN4w==,1,0,0,0,0,0,1
gAAAAABeSk1HCo8fVopvJeiPOWCVvmQW_-lkXPVvPNakYlRsrIwtm4Bm0YpoQwXx36vVDWgh9VgQL8TwgkOqmU8UBL5mqYX6Hg==,1,0,0,0,0,0,0
gAAAAABeSk1H0Qal0CJ6vMzgde8vXdl3vQ55W9DC3giM8rIJpZiHlJIlSn2baJs60Zx_BWHtSWVhgdszBqvQRF2d0taKtBXEVQ==,1,0,0,0,0,0,0
gAAAAABeSk1H_0SuWhas2AseTOLDOzp2XbClKuVTQyb1Ex_bIoPdOsfSLsqBAeR9JgzvFOwDRVsnDa7uX-OZZRjIJbuRbUMIQQ==,1,0,0,0,0,0,0
gAAAAABeSk1H7sz3GxYxf7gIcJz6XFWahPCOmMoT-TZ1e2gdRGhdDinJpIIT9Raj4Q8EDXBPe3T30DM80ybVln5eN1QWgSIhUw==,1,0,0,0,0,0,0
gAAAAABeSk1HMyiVZq2Ni_l4f_fY5jZizSoXeAxxMTTfTA6_3h91UKpzej30lYq7hYFUDTcGbYOwPiK1MYtugUyFRdB-lYaOYg==,1,0,0,0,0,0,0
gAAAAABeSk1Ht7LbDuhrhT4DIpeb4QtXv297mcBeqrWv8_IcJ6wfP2iyWOgGPtZ9JCGPmBsPSVLiaVrpc6LJ1MP-0fAFNXaTIA==,1,0,0,0,0,0,0
gAAAAABeSk1HjI_Y7T4w9uU7bMMe5RqN66tRJAP4-89BDdpLa657f7m9yJgsTNB3xCCIPmlLS1nw5vNtGXrEBRQXATSdIrRrxA==,1,0,0,0,0,0,0
gAAAAABeSk1HX-HfE2FdmQQuXRl7Aevxgtb9SMil1Tcj0-7wrJls6wWeukJrK55BMj0LxtaLGtcvMcbk2fCVgBtEyPgw3EjP2w==,1,0,0,0,0,0,0
gAAAAABeSk1H8R9EoVfLsxDN20MXdDGxdoJtcPllFjYbpkKq_diQEKmHbde6G4piXwsqgov_q62nyRL74rZY33r8t1jK0cIBXw==,0,0,0,0,0,1,0
gAAAAABeSk1HtV7nrKJjnrWwq6xC8g01WkW-R0hp12yWuXwzfhkQua8-TT12_8D6Jw_dmdeNv40kynv-CzWkba1A3ZYAhIZLtw==,1,0,0,0,0,0,0
gAAAAABeSk1HE32qDSZwJpSWvT84fwBfJHRTzsMh2OvrhVlwHhvQRQ06bCBkN_MVcoHwXggk7cD1H0bCoxgXY30M35bKoBvCCg==,1,0,0,0,0,0,0
gAAAAABeSk1HunW0Mg_l6Eqht2vdRiYWp-LgwrTAQrFbiVS-sBZFdq53Zhng_OEdqjB6gCj5CkAhy0bepozlY7we5xkMzqe3Dw==,0,0,0,1,0,0,0
gAAAAABeSk1Ht9lvhny5JBGoNOjfxxxRz0rAzPs8uaHcmThoI3H3kU4Z1xVJmALXguz3sBtB2fSuTXS4FsEXx0x9ROhmsUq7pg==,1,0,0,0,0,0,0
gAAAAABeSk1HmnDyz6Jlo5Bk1zeDw1dskLRDsnuKaq8x_VHcXMV6aFpP3RPyXu0MWAqV2sBiwnzdC9VwAGEIRXxeWD5VnX-3Gg==,1,0,0,0,0,0,0
gAAAAABeSk1H617mhxCxZUUN_Bfcndmw8_uzADuF0h1NEKnTwK4kBOCeltCSS9zKDe45FMq_b0S21X_P9Q4StpdA4w-EBmBFIQ==,1,0,0,0,0,0,0
gAAAAABeSk1HLHrsLP1ymj-OBaFwmOSzOcg2GPDZefz_LVlVDBHAbDzUbBdhWyVsansm8YNsO0nOJmFhbFVl7cW6DJ-zEHR3rw==,1,0,0,0,0,0,0
gAAAAABeSk1Hulnyqy6-zsvE5gzvqIxcVluCq1b-Sw8-7RhLdwNfB2hTRv7viDOnt6eCn6Oh4FNNrWGU6LSWJ_SR9KLLTmEEWw==,0,1,0,0,0,1,0
gAAAAABeSk1HYDUj7xYkn-azHqCkPbzzUAP4d2LRbwEfLe1pVNQEUd3fCCl9SXZZMRnH6w_Rfj7JAPIzH6N-frIqCnQCMMVbmg==,1,0,0,0,0,0,0
gAAAAABeSk1HNVOsfuL9l6hYCc-vO2cxXLx88hplu4wxHnZwJ5P4t4hyTHG76lSSRTIjqIr7_PCmsovDpwDEO4bG5hQ09kY9BA==,1,0,0,0,0,0,0
gAAAAABeSk1HWfyG4p04v4NfreN6lnrFP1deijz-GawHUTuSpkdkYlT04mB6RiFuPR0x-PoTgqk7tbyesUDM233lHtadN7bcog==,0,0,0,1,0,0,0
gAAAAABeSk1HLfk7y7GZZHDHXl-jghvif3o7fGsz7S96FRN4oENqt14V5VjH3a7E3E3ZVrnecgZfDE6eWA4PpQs0KVvtftvAxQ==,1,0,0,0,0,0,0
gAAAAABeSk1HAYPjgD6quM0f5PC8XMPaBrHT6FkV9vrvMHne_mC8Fht3NafGdtAHsdzF_-ill2vNQDvS1pPuJi1xjU5M-A4o-Q==,0,0,0,1,0,0,0
gAAAAABeSk1HOd0Hyn2W0AQ7lT2ZeXZeVajqOA95Od7W-ABDys8k6wMtt2WKfrmoFL_7H8NnbQW19Q2Md-yNdDOCa1CZRCrOMA==,1,0,0,0,0,0,0
gAAAAABeSk1Hp7Y3fMWcAXJ62466PJG_wDvRfgkdbjsXu1uksz9FGmlAZ-yRFdMpufHv2LkxtYDgXhrXYCI26vrcRBVlLTTu6g==,1,0,0,0,0,0,0
gAAAAABeSk1H3-eFI4V0Mq8At3oKLyy_1DVRqNgCn1mMQOlthRSJTp5gfvlahv8DKqYvNgFJd_3_Hs5Z_3vpKC7q-BDTomlK7w==,1,0,0,0,0,0,0
gAAAAABeSk1HnLu4pMCukrftiAee7dyebSSgqTiXc2CFVt0lrO2OE-BrYUPsKUt0X6u1axDd1w1MI4KAtrwMFrmroV5cXFRU8g==,1,0,0,0,0,0,0
gAAAAABeSk1H73Mg923523hDhwTpqFyXS3VGPmdMdj8MatcAOM7-WGULzldAYUNfshCqEvAF_p4OGdZ5KF_lxibWvCxm9xHInQ==,1,0,0,0,0,0,0
gAAAAABeSk1HuQFAc4FtdNa34lpMeUYa5qQvWylTe0wmsHQpx2JIkqRzpLdAmjgvj3qwagKz2Lh73GJppcxcdXfpJxl4Zhbq-g==,1,0,0,0,0,0,0
gAAAAABeSk1HKSu2SXre-9pg8Wr5ypFYTcONS-ryYVWI0PqtY0NWoUr9wD9AT8TUwYhVEJyRiDUFepnxAuuqCi8pcoIG9hxLnA==,1,0,0,0,0,0,0
gAAAAABeSk1HnEwsdEq4Gh7ms_dTbjrsPmIaarQkSRb766NWKvlr2mBquguao4FxnQkR13EAzFgJqX1zX5NrEmQq517W2DCFew==,1,0,0,0,0,0,0
gAAAAABeSk1HXG7znBHpePWrDVJ5By4S5gF6THvujMrqmtNOqpDOTxp1fgzNkxf1g4qxDjtTFJ25E8Ppb0vycL0W5-TF1NJ8LA==,0,0,0,0,0,0,1
gAAAAABeSk1H_BCgZgPyOhFocRvfTST0LT4VdBQsOTULOPPFRwHrjFaWawwpTL7EaWJITa4ZQ-Qhew9X_kYV2eUDcfqe8-26bA==,0,0,0,0,0,1,1
gAAAAABeSk1H3-KF1zCortGx3KvA6beIEJjgncxrRFBRZMBgsTUa6rjw1TgygA6aYiilmKmuWNGvvUjO0NELXnqwYDAYy5EE0A==,1,0,0,0,0,0,0
gAAAAABeSk1HPKE2J5-FxhUOfSAV0ip06FxvKX7AmAcJD5UAh2w5ilMIksZO4CaOXe7Fv2xC1DXQu57a3nSOX0NrpCn6jvc6Zw==,0,0,0,1,0,0,0
gAAAAABeSk1HdFKGnXaibz01B1YBeE9R8FTSb0s2glNUCJD1vU5RqcAt9KC3cXHYnmH4AijK8OkfKMePUVBUwbXUdbibEPjbXw==,1,0,0,0,0,0,0
gAAAAABeSk1HTwai6CcqADwWzUdskauVaKLavr3l5-Izai5P3CvminklNhgj95iPG8Q9ZA3BY6aFAH8TIkM1xqYhDQ93yAzpoA==,1,0,0,0,0,0,0
gAAAAABeSk1HINMPgqzXcuvDC1RSUc8k15LKqv8NTKij4O6oHOFYpDIIihl4G1UJuUnCqIDmxKmXEGWW9VI_QZDCTtXcnQO0qQ==,0,0,0,1,0,1,0
gAAAAABeSk1HxPXsog85Zk9W2Dboxs9D5j0eUi1uuJLkomhRI0s4EGLYmZ8lZBusPPnlwY8EihQvSKWn5Cw0l3p-g0ui-G26SQ==,1,0,0,0,0,0,0
gAAAAABeSk1HHP_ZZj2w-jErQTpmc8RHXjXdBkgkVDtZfjy11WChR8_iOMeu289IOZ3_maZBIN96krX-z2eWm0xldxRePNAN7g==,1,0,0,0,0,0,0
gAAAAABeSk1HxL7exh_IRAKghaHnJs1M-Hv-IRH6Ut6WfN5lI9r5UhkPOYC7W4V2Z6VIb08gcn1RUwE5qCXSLIGeldfWRUXgGg==,0,0,0,1,0,0,0
gAAAAABeSk1H1TebaLmKMTgKzXgn-g5AQ9aZ5WD6J-BDCBSNtbY3REKeZTJXVWNyQMPLYphjj8xRMUYmPKqaHcs5mbDynkTEgw==,0,0,0,1,0,0,0
